N,P,K,temperature,humidity,ph,rainfall,label
94.5,42.2,34.2,22.45,80.86,6.77,251.11,rice
86.9,45.3,35.6,23.22,83.31,6.25,237.8,rice
84.9,56.5,43.8,22.46,87.89,5.89,234.53,rice
102.4,55.7,48.4,23.53,86.35,6.64,249.29,rice
81.8,54.9,34.7,21.02,82.16,6.4,251.61,rice
88.3,49.3,33.8,21.11,80.73,6.6,267.54,rice
81.5,59.8,39.7,26.46,76.25,6.5,238.03,rice
86.4,45.1,42.0,23.86,74.57,6.04,225.41,rice
67.7,37.3,48.0,24.22,78.46,6.7,236.0,rice
82.4,51.4,52.7,22.89,85.15,6.51,240.01,rice
79.9,37.4,33.0,24.23,81.93,6.36,251.64,rice
102.3,33.7,24.8,22.67,83.96,6.59,232.85,rice
72.9,60.2,36.4,24.32,82.28,6.32,249.54,rice
100.2,37.4,21.3,22.28,83.58,6.5,240.41,rice
99.1,54.2,38.5,20.81,79.13,6.78,227.52,rice
99.1,51.8,59.4,23.58,72.85,7.03,236.5,rice
89.0,57.1,39.2,21.45,80.79,6.59,231.38,rice
104.6,40.2,35.7,20.83,89.88,6.94,232.46,rice
82.9,34.5,53.6,24.86,84.79,6.31,250.68,rice
90.2,38.6,34.7,24.13,76.67,6.58,224.6,rice
86.1,43.2,39.3,24.64,76.83,6.22,219.25,rice
85.8,39.8,43.0,24.49,89.94,6.27,252.16,rice
85.5,42.2,47.0,25.63,86.57,6.57,237.84,rice
104.2,43.5,35.1,22.3,76.97,6.21,255.2,rice
76.9,59.3,29.5,25.74,71.17,6.94,227.68,rice
91.5,46.4,39.2,26.7,86.48,6.4,241.76,rice
97.6,44.9,48.9,25.73,79.8,6.07,240.17,rice
82.8,50.0,39.8,25.63,85.87,7.06,251.26,rice
94.3,42.7,33.8,24.67,87.52,6.69,234.54,rice
85.5,55.2,44.1,20.02,88.41,5.75,226.74,rice
86.7,51.3,37.7,22.21,82.08,6.77,232.1,rice
107.0,48.9,38.0,22.74,79.53,6.62,232.63,rice
88.7,42.6,56.6,19.78,80.85,6.54,239.96,rice
90.3,52.3,44.0,23.2,78.04,6.52,222.96,rice
73.8,53.8,39.9,22.62,81.41,6.38,232.24,rice
88.5,48.7,40.9,24.67,92.21,6.72,241.91,rice
90.9,49.7,48.5,24.52,86.98,6.75,233.83,rice
86.3,50.5,55.5,21.45,84.04,6.41,234.36,rice
88.3,58.0,50.7,23.92,80.18,6.7,240.48,rice
86.6,44.2,44.2,20.29,81.62,6.34,229.35,rice
95.6,41.7,43.9,22.83,80.64,6.27,270.47,rice
77.8,42.2,6.1,19.34,61.05,6.1,82.3,maize
85.4,44.6,22.0,22.24,67.43,6.39,85.07,maize
76.2,61.8,19.9,20.01,62.67,5.74,76.91,maize
65.2,55.2,36.9,22.85,61.94,6.02,69.33,maize
65.8,46.2,27.1,21.5,57.89,6.88,61.89,maize
81.9,61.4,28.6,23.88,57.09,6.49,76.13,maize
76.8,37.9,9.0,20.27,72.67,5.97,68.1,maize
57.7,60.8,24.4,21.22,55.2,5.92,75.17,maize
93.4,41.8,24.3,18.85,63.58,6.55,77.21,maize
65.6,53.3,23.7,22.9,69.51,6.1,89.24,maize
68.0,46.2,19.5,17.95,62.59,6.45,65.53,maize
71.3,48.8,43.3,24.26,62.81,5.77,80.38,maize
77.3,55.7,14.7,23.98,69.44,6.17,94.09,maize
74.1,48.2,6.8,22.39,68.44,6.41,81.8,maize
85.1,43.9,17.2,19.57,67.73,6.11,87.52,maize
78.5,48.0,21.5,23.8,64.65,6.41,86.79,maize
81.7,46.3,27.3,23.56,61.63,6.19,75.72,maize
62.7,46.5,29.6,23.67,64.96,6.37,92.65,maize
86.8,53.9,36.1,24.62,58.04,6.28,97.18,maize
75.4,37.1,19.4,21.08,56.08,6.2,97.7,maize
82.7,53.0,20.4,20.18,69.94,6.17,77.44,maize
78.5,60.2,23.1,23.01,61.38,6.83,95.6,maize
90.2,61.0,9.5,24.1,68.2,5.7,89.08,maize
73.4,34.1,25.4,21.91,64.77,6.47,85.69,maize
80.6,39.3,25.3,21.58,60.9,6.13,93.76,maize
65.3,52.8,16.0,26.05,67.92,6.34,94.54,maize
72.8,51.3,17.5,21.19,66.03,6.2,100.94,maize
79.5,50.4,17.7,24.89,57.53,5.68,70.49,maize
77.2,34.1,10.5,23.67,67.15,5.8,93.12,maize
89.4,63.1,20.4,22.89,64.6,6.75,91.06,maize
69.5,53.9,14.1,23.49,59.89,6.21,114.06,maize
67.4,49.7,28.4,21.83,69.33,6.38,77.35,maize
70.7,49.4,5.0,19.74,65.79,5.87,81.68,maize
67.3,56.8,26.2,23.2,65.76,6.08,70.77,maize
94.0,52.3,17.7,23.19,68.85,6.63,104.99,maize
83.0,42.2,19.7,23.32,64.68,6.27,47.53,maize
90.5,46.9,32.8,24.2,66.65,6.85,76.37,maize
99.2,48.7,5.0,20.88,65.49,5.69,83.03,maize
73.3,43.0,14.5,20.71,65.81,6.32,83.06,maize
77.5,50.2,23.6,22.76,72.5,6.76,72.11,maize
68.5,40.8,25.2,21.1,69.76,5.96,67.41,maize
63.1,36.3,15.7,26.41,67.89,6.28,76.11,maize
74.3,42.5,15.8,22.7,67.58,6.13,92.52,maize
76.4,45.3,22.5,21.28,65.33,6.23,97.29,maize
76.4,50.5,10.8,21.85,70.22,6.65,92.9,maize
72.7,42.4,12.4,21.19,66.47,6.02,72.36,maize
67.5,42.9,5.0,19.28,61.08,6.14,104.2,maize
83.3,49.5,6.2,21.26,67.55,6.62,56.7,maize
87.9,46.8,26.3,21.15,64.76,5.88,85.77,maize
89.4,57.2,25.6,20.68,64.03,6.06,88.84,maize
84.9,39.7,14.7,24.16,69.42,5.88,83.75,maize
86.9,56.6,16.1,24.46,66.48,5.95,105.0,maize
73.7,47.2,6.3,21.3,62.14,5.71,89.92,maize
71.3,54.5,16.6,24.56,65.22,6.18,82.29,maize
70.2,44.5,25.6,23.93,64.47,6.21,68.27,maize
73.0,44.3,8.4,24.69,64.19,6.2,94.03,maize
69.6,52.8,5.0,21.15,56.95,6.61,93.59,maize
71.9,48.0,12.2,23.12,68.09,6.06,89.33,maize
70.2,45.7,20.8,23.83,62.36,6.21,90.12,maize
83.2,57.8,17.7,26.16,61.83,6.5,104.01,maize
91.9,47.3,10.6,19.26,63.31,5.69,75.33,maize
62.5,50.4,27.9,21.99,70.86,6.14,92.42,maize
69.4,49.7,25.6,23.02,69.23,6.29,85.94,maize
78.5,56.6,22.3,23.27,65.89,6.6,56.62,maize
72.1,48.4,20.2,19.35,71.29,6.3,78.28,maize
88.3,54.8,7.2,17.92,61.53,6.5,94.81,maize
79.8,53.9,17.5,24.73,68.48,5.97,84.06,maize
77.7,54.1,11.4,22.17,67.34,6.09,96.0,maize
83.3,44.0,18.9,22.73,64.92,5.92,75.48,maize
91.3,45.0,23.4,21.28,57.17,6.86,74.61,maize
77.7,41.9,15.6,22.08,63.1,6.38,105.22,maize
74.2,56.7,13.9,23.13,62.6,6.23,83.96,maize
87.3,52.8,22.9,21.72,68.56,6.51,87.08,maize
72.6,49.8,7.9,24.44,57.16,6.6,73.93,maize
71.8,44.9,24.5,21.3,68.55,6.57,96.52,maize
69.1,57.1,14.5,26.62,63.3,5.57,97.19,maize
75.2,40.3,10.8,25.67,64.24,6.13,86.96,maize
80.9,39.7,21.0,20.8,64.92,6.27,123.95,maize
87.2,68.4,16.8,24.3,66.0,6.7,60.14,maize
66.1,35.9,26.1,20.63,66.33,6.34,81.48,maize
84.5,46.5,27.2,21.0,66.91,6.44,65.95,maize
78.2,45.7,12.8,27.25,68.58,6.58,107.11,maize
82.7,44.2,30.8,20.35,60.14,6.35,93.06,maize
71.5,45.0,13.2,23.24,64.92,6.11,83.59,maize
85.6,47.3,17.9,21.63,71.2,6.41,99.26,maize
79.6,37.1,15.8,22.65,69.94,5.52,92.94,maize
86.2,40.9,7.0,28.57,64.9,6.03,86.32,maize
84.9,42.9,30.0,18.99,64.52,6.25,102.46,maize
75.9,47.2,16.4,17.44,62.95,6.91,82.81,maize
83.1,45.8,21.0,21.76,61.72,6.37,75.42,maize
84.9,52.8,12.7,20.79,69.93,6.56,80.22,maize
75.6,45.9,30.0,23.93,66.95,5.97,72.04,maize
84.5,59.7,5.0,19.09,67.55,6.17,73.35,maize
82.4,38.7,26.2,21.42,71.62,6.18,96.38,maize
73.4,41.1,14.2,22.42,58.86,6.57,84.35,maize
58.3,37.6,9.9,20.07,65.76,6.18,89.42,maize
71.2,54.7,13.4,20.66,66.85,5.94,95.71,maize
89.1,54.7,12.2,21.27,67.33,6.18,101.24,maize
88.2,55.9,31.9,20.64,62.52,6.41,106.37,maize
69.8,46.4,23.0,22.1,56.23,6.07,79.24,maize
37.0,60.0,77.0,14.52,20.0,7.16,79.26,chickpea
46.1,62.8,83.1,18.17,20.0,7.37,85.15,chickpea
51.5,66.5,81.5,21.06,20.0,6.86,72.12,chickpea
45.8,66.4,82.8,21.06,20.0,7.38,78.58,chickpea
42.2,66.3,83.4,18.39,20.0,6.72,78.77,chickpea
33.2,62.5,77.0,18.28,20.63,7.45,78.1,chickpea
32.6,52.2,79.2,22.54,20.0,7.65,74.52,chickpea
34.2,77.5,85.0,17.63,20.0,7.06,92.38,chickpea
52.5,61.6,90.6,18.25,20.0,7.62,84.91,chickpea
29.1,65.0,75.7,19.4,20.0,7.9,95.04,chickpea
37.5,67.4,88.5,18.41,20.0,7.2,73.91,chickpea
41.2,61.8,71.4,17.78,20.0,7.79,88.44,chickpea
25.7,66.0,88.2,20.13,20.0,7.32,71.38,chickpea
30.1,67.6,81.2,20.08,20.02,7.53,60.26,chickpea
28.7,73.6,86.4,17.14,20.0,7.36,62.37,chickpea
34.3,70.5,76.3,19.93,20.0,7.58,104.04,chickpea
34.4,71.9,69.2,16.94,20.0,7.32,72.68,chickpea
41.2,57.5,78.6,21.48,20.0,7.58,83.74,chickpea
52.6,56.2,71.2,20.56,24.16,7.54,71.83,chickpea
38.8,67.5,94.2,22.22,21.82,7.7,57.75,chickpea
30.7,67.0,77.7,21.81,20.5,7.46,86.67,chickpea
39.7,66.5,74.7,19.02,20.0,7.66,76.82,chickpea
40.3,62.1,68.6,18.4,20.0,7.25,98.45,chickpea
38.6,62.2,84.5,18.96,24.82,7.38,72.82,chickpea
44.5,70.9,57.0,19.65,20.0,7.38,84.23,chickpea
44.9,61.6,93.7,16.94,20.0,7.5,69.89,chickpea
30.3,72.3,71.6,19.59,20.0,7.03,60.8,chickpea
20.9,79.0,87.4,19.41,20.0,7.51,83.34,chickpea
48.8,66.4,86.3,15.62,20.0,7.27,93.23,chickpea
47.7,61.3,75.3,17.38,20.0,7.37,82.97,chickpea
40.0,79.7,74.2,22.49,20.0,7.11,82.17,chickpea
62.6,64.5,80.3,12.54,20.0,7.21,87.83,chickpea
50.9,62.1,67.1,22.58,20.0,7.39,71.18,chickpea
38.2,60.3,80.8,18.48,21.58,6.87,85.95,chickpea
34.1,64.4,74.3,22.82,20.0,7.54,92.76,chickpea
38.5,61.5,77.6,17.28,20.0,7.5,101.38,chickpea
43.8,75.6,88.1,20.35,20.0,6.77,79.23,chickpea
35.3,79.2,77.4,22.4,20.0,7.57,90.26,chickpea
41.4,65.4,84.5,22.18,20.0,7.28,83.01,chickpea
36.6,74.1,90.4,20.34,20.0,7.48,57.38,chickpea
33.0,55.3,88.1,16.32,20.0,7.84,90.47,chickpea
41.0,62.0,73.9,19.29,20.0,7.28,67.74,chickpea
26.9,64.5,73.5,21.29,22.72,6.73,81.9,chickpea
60.6,77.1,75.8,20.81,20.0,7.41,101.43,chickpea
33.3,75.0,73.4,19.84,20.0,7.35,110.4,chickpea
34.2,78.7,73.1,18.86,21.89,7.35,83.43,chickpea
39.6,67.1,86.2,20.25,20.0,7.56,84.71,chickpea
46.7,71.6,84.0,17.81,20.0,7.55,82.93,chickpea
49.9,74.0,91.9,18.27,20.0,7.36,70.36,chickpea
46.1,82.6,85.6,21.54,20.0,7.61,84.18,chickpea
28.4,66.3,73.3,21.88,20.0,7.16,82.34,chickpea
32.9,76.4,88.5,19.76,20.0,7.05,84.67,chickpea
44.3,69.6,78.2,19.73,20.0,7.46,84.52,chickpea
38.8,60.6,74.6,19.76,20.0,7.62,78.84,chickpea
34.1,58.5,80.1,23.53,20.0,7.42,70.93,chickpea
50.0,66.5,94.9,19.37,20.0,7.29,56.43,chickpea
39.5,73.0,75.5,19.11,20.0,7.31,72.75,chickpea
48.2,60.5,77.8,25.28,20.0,7.32,72.38,chickpea
38.0,66.0,90.3,21.43,23.28,6.92,77.74,chickpea
26.4,87.9,82.7,16.99,20.0,7.67,32.96,chickpea
30.8,61.2,63.1,20.39,20.0,7.23,90.38,chickpea
42.0,75.0,95.6,19.38,20.0,7.74,49.78,chickpea
34.4,67.8,64.4,19.8,21.64,7.19,64.53,chickpea
38.4,66.6,68.6,14.67,20.0,6.69,72.66,chickpea
43.9,74.6,92.4,17.54,20.0,7.33,53.4,chickpea
33.0,71.9,68.3,16.63,20.0,7.19,111.54,chickpea
35.3,68.4,79.7,18.06,20.0,7.56,86.63,chickpea
37.9,76.7,81.6,17.78,20.0,7.6,68.82,chickpea
40.5,66.3,99.7,20.33,20.0,7.46,104.65,chickpea
30.4,73.1,87.3,18.05,21.2,7.24,84.79,chickpea
46.7,64.3,78.2,20.64,20.0,6.84,64.77,chickpea
51.9,67.5,85.8,18.05,20.0,7.15,65.52,chickpea
40.3,74.1,78.3,15.7,20.0,7.39,80.59,chickpea
35.9,65.4,87.1,19.45,20.0,6.94,86.29,chickpea
46.7,75.8,81.8,19.71,20.0,7.24,65.63,chickpea
46.7,63.8,88.3,18.09,20.0,7.45,78.61,chickpea
31.3,54.4,82.6,17.7,20.0,7.42,87.41,chickpea
38.9,69.0,73.1,21.7,20.0,7.7,82.43,chickpea
46.3,78.4,73.6,20.81,20.0,7.47,77.78,chickpea
42.5,58.9,84.4,17.17,20.0,7.37,77.83,chickpea
47.7,75.9,91.9,13.43,21.69,7.39,80.01,chickpea
56.1,78.6,92.9,18.07,20.88,6.76,70.01,chickpea
37.4,66.0,71.7,22.22,20.0,7.02,66.46,chickpea
42.1,65.3,83.8,17.85,20.0,7.7,71.53,chickpea
46.7,69.5,82.7,16.47,21.51,7.72,61.68,chickpea
46.3,96.8,79.4,21.38,20.0,6.87,94.01,chickpea
47.3,66.5,77.3,15.12,23.43,7.99,75.67,chickpea
43.5,52.6,75.9,19.9,20.0,7.15,72.27,chickpea
40.9,82.2,87.1,17.96,20.0,7.87,76.86,chickpea
38.0,73.8,79.2,20.01,20.0,7.28,116.63,chickpea
33.3,64.5,84.0,20.56,20.0,7.25,80.59,chickpea
37.6,70.9,69.1,18.19,20.0,7.52,79.68,chickpea
46.3,50.5,78.9,17.29,20.0,7.49,101.01,chickpea
33.3,54.5,90.2,18.88,20.0,7.57,57.3,chickpea
35.2,67.4,78.6,19.09,20.0,7.35,71.03,chickpea
34.5,70.0,89.8,18.44,24.13,7.21,75.15,chickpea
40.3,83.2,73.9,17.08,21.07,7.51,68.07,chickpea
43.7,73.7,79.4,19.93,20.0,7.27,72.03,chickpea
42.8,67.9,73.6,19.9,20.0,7.41,102.62,chickpea
32.3,65.6,81.6,18.06,20.0,7.11,60.01,chickpea
11.3,63.5,31.2,21.09,20.0,5.37,106.95,kidneybeans
26.7,60.2,22.7,18.9,21.67,5.71,125.79,kidneybeans
14.2,63.6,30.3,19.46,25.17,5.39,92.76,kidneybeans
23.3,67.2,9.3,20.08,27.22,5.96,116.7,kidneybeans
14.0,69.5,25.7,18.66,23.51,5.38,109.18,kidneybeans
16.7,80.9,16.6,20.12,20.0,6.15,89.51,kidneybeans
15.9,54.4,9.7,21.49,23.53,6.0,115.71,kidneybeans
23.1,68.0,5.0,20.1,20.0,5.91,113.62,kidneybeans
16.8,61.4,28.5,19.96,20.0,6.03,111.6,kidneybeans
30.7,63.6,23.3,21.09,24.33,5.15,91.75,kidneybeans
27.9,77.2,19.7,20.09,27.15,5.73,111.47,kidneybeans
11.7,60.4,13.7,21.46,23.42,6.32,104.11,kidneybeans
14.3,69.7,28.9,15.81,27.46,5.53,100.41,kidneybeans
18.7,64.0,15.3,18.15,26.29,5.79,109.3,kidneybeans
20.5,59.0,30.2,20.28,21.22,5.47,111.29,kidneybeans
23.9,55.0,29.5,21.72,26.13,5.84,93.0,kidneybeans
20.9,71.5,21.0,20.98,21.22,5.7,123.92,kidneybeans
37.1,63.3,12.2,25.4,22.3,5.62,85.51,kidneybeans
39.9,68.1,26.2,22.3,22.58,5.89,120.0,kidneybeans
17.2,67.9,40.0,19.5,20.0,5.73,120.6,kidneybeans
7.0,72.2,11.1,21.06,20.0,5.3,103.71,kidneybeans
12.9,60.9,22.7,21.43,22.19,6.41,104.9,kidneybeans
12.0,54.9,19.3,22.47,23.24,5.42,104.82,kidneybeans
12.1,67.2,22.8,22.44,20.0,5.68,106.24,kidneybeans
18.1,59.0,15.7,15.63,20.0,5.52,107.48,kidneybeans
1.7,60.6,11.6,25.39,23.65,5.88,117.9,kidneybeans
14.1,74.0,22.4,20.44,24.53,6.11,83.41,kidneybeans
19.5,87.2,30.8,20.7,20.0,5.55,129.38,kidneybeans
23.8,60.6,26.2,19.17,20.0,5.61,96.17,kidneybeans
7.1,72.0,20.3,15.91,20.0,5.91,123.59,kidneybeans
40.8,65.9,21.9,17.81,20.0,5.79,97.99,kidneybeans
21.6,69.8,8.4,22.26,24.16,6.26,116.15,kidneybeans
14.4,63.3,19.5,17.74,24.62,5.79,130.63,kidneybeans
16.0,63.7,33.7,21.82,20.0,5.49,113.0,kidneybeans
16.4,66.0,16.9,24.97,20.0,5.37,104.46,kidneybeans
23.7,64.2,7.0,19.6,20.0,6.11,118.89,kidneybeans
14.1,64.6,27.7,22.45,20.0,6.19,117.91,kidneybeans
36.8,73.9,6.8,20.35,22.92,5.87,115.24,kidneybeans
18.0,68.9,18.1,16.14,20.43,5.41,112.55,kidneybeans
37.4,67.7,19.9,19.94,20.79,5.71,105.71,kidneybeans
27.7,66.6,17.7,18.18,20.0,5.82,119.59,kidneybeans
21.7,69.9,21.8,17.17,20.51,5.95,113.07,kidneybeans
22.2,65.1,27.4,19.22,28.82,5.76,118.18,kidneybeans
15.0,66.2,24.6,20.0,20.0,6.38,111.6,kidneybeans
25.6,59.2,18.2,19.24,20.17,5.54,118.17,kidneybeans
17.9,78.8,23.3,19.68,20.0,5.1,115.46,kidneybeans
3.8,70.4,20.1,20.09,24.62,5.96,99.01,kidneybeans
29.6,64.4,21.7,20.91,25.11,5.96,116.68,kidneybeans
23.8,58.1,18.9,21.9,20.0,5.59,92.09,kidneybeans
31.2,71.9,16.9,23.34,21.49,6.19,103.44,kidneybeans
18.8,63.4,31.9,21.53,21.81,5.83,114.02,kidneybeans
23.1,89.4,26.8,21.95,20.65,5.67,104.58,kidneybeans
8.4,69.3,17.8,18.4,22.17,5.92,112.81,kidneybeans
27.3,53.9,17.2,19.58,20.53,6.0,82.01,kidneybeans
19.2,64.3,38.1,18.16,20.74,6.12,87.54,kidneybeans
35.3,72.3,19.5,22.85,22.16,5.28,98.84,kidneybeans
12.1,70.8,26.2,19.47,21.36,6.0,96.6,kidneybeans
31.6,69.2,19.3,17.62,22.84,5.89,99.07,kidneybeans
28.5,67.6,24.9,22.0,20.0,5.44,111.5,kidneybeans
9.2,67.0,38.1,20.15,23.11,5.77,106.83,kidneybeans
9.2,65.6,31.8,20.58,25.5,5.92,125.26,kidneybeans
20.2,68.2,11.2,19.24,30.03,5.86,106.0,kidneybeans
9.8,70.4,19.5,18.31,20.0,5.91,112.92,kidneybeans
10.9,76.0,18.7,21.88,20.0,5.45,114.86,kidneybeans
25.8,67.2,14.5,18.11,20.0,5.32,118.83,kidneybeans
26.3,67.0,27.2,17.56,21.14,5.74,123.86,kidneybeans
28.8,69.2,16.7,20.99,22.63,5.73,79.16,kidneybeans
29.3,72.6,37.9,18.02,20.0,5.75,109.97,kidneybeans
30.1,70.9,18.3,16.79,23.62,5.92,99.38,kidneybeans
11.7,64.8,28.0,17.9,25.17,5.92,129.27,kidneybeans
32.6,60.7,12.6,21.4,24.0,5.7,80.35,kidneybeans
13.1,77.5,21.8,15.17,20.0,5.69,113.64,kidneybeans
20.8,60.1,10.7,19.88,20.0,5.56,110.18,kidneybeans
28.5,58.0,34.7,19.82,22.33,5.66,90.43,kidneybeans
18.9,79.3,20.0,18.98,21.75,5.95,100.36,kidneybeans
29.1,70.1,22.0,19.21,20.98,5.74,112.0,kidneybeans
24.8,71.5,21.0,21.9,20.0,5.55,113.0,kidneybeans
16.8,70.4,25.8,22.16,20.32,5.83,112.98,kidneybeans
26.6,60.0,33.3,16.16,21.02,5.61,99.82,kidneybeans
17.4,67.2,26.1,23.3,20.0,5.98,98.82,kidneybeans
18.2,77.6,18.1,20.95,24.86,5.83,119.04,kidneybeans
23.5,66.0,30.8,20.86,20.87,5.62,93.21,kidneybeans
28.3,76.9,32.0,19.81,26.38,5.37,99.93,kidneybeans
16.5,58.0,31.8,20.27,27.62,6.2,129.67,kidneybeans
31.8,70.6,6.0,19.42,22.67,6.14,99.84,kidneybeans
19.1,74.8,9.9,19.56,23.55,6.06,108.06,kidneybeans
31.7,59.5,5.0,21.36,23.9,5.2,97.39,kidneybeans
14.8,59.7,30.9,15.99,24.82,6.17,104.27,kidneybeans
25.9,59.2,25.5,18.16,27.82,6.01,104.26,kidneybeans
8.7,73.9,16.0,20.72,20.69,5.85,100.58,kidneybeans
3.8,66.9,30.2,20.96,20.0,5.45,100.83,kidneybeans
25.3,56.3,33.1,18.81,20.32,6.25,101.36,kidneybeans
17.3,58.4,10.7,23.91,23.78,5.93,105.49,kidneybeans
0.0,83.3,6.4,19.78,20.0,5.95,96.08,kidneybeans
15.2,66.3,27.2,19.49,20.0,5.21,85.17,kidneybeans
8.5,63.9,25.0,18.29,25.66,6.1,103.41,kidneybeans
28.9,63.1,5.0,22.91,20.0,6.2,95.09,kidneybeans
2.0,68.4,5.0,21.59,20.0,5.66,123.14,kidneybeans
14.4,72.8,27.8,18.67,22.0,6.07,105.34,kidneybeans
28.3,76.4,27.9,21.86,26.29,5.52,107.17,kidneybeans
12.6,64.8,16.6,29.19,46.7,6.07,116.76,pigeonpeas
33.4,62.8,5.0,28.93,51.23,5.97,172.94,pigeonpeas
18.7,66.4,20.9,25.56,44.06,6.16,153.81,pigeonpeas
15.2,68.0,28.2,26.59,47.62,6.06,162.08,pigeonpeas
0.4,59.3,29.1,25.65,47.99,6.3,156.05,pigeonpeas
22.1,68.7,20.0,28.27,52.78,5.39,147.89,pigeonpeas
21.7,70.5,21.4,26.76,54.19,6.05,152.11,pigeonpeas
23.3,80.6,21.7,28.61,44.24,6.02,149.59,pigeonpeas
10.4,83.5,18.7,29.36,44.49,6.31,157.63,pigeonpeas
10.2,62.1,7.5,26.67,56.92,5.06,122.99,pigeonpeas
12.7,64.4,20.3,25.12,50.67,5.77,132.01,pigeonpeas
23.5,68.3,19.3,24.51,48.3,5.49,133.23,pigeonpeas
19.0,64.3,27.6,27.37,60.05,6.59,138.51,pigeonpeas
11.0,71.7,16.9,28.93,42.05,6.0,156.46,pigeonpeas
18.6,71.0,11.7,27.03,44.95,6.04,135.2,pigeonpeas
8.5,62.8,33.9,26.54,46.7,5.5,159.88,pigeonpeas
15.4,60.4,23.5,26.97,44.44,5.86,156.02,pigeonpeas
26.5,67.7,27.1,26.41,49.6,5.42,129.4,pigeonpeas
16.4,70.3,20.6,26.48,40.5,5.59,163.74,pigeonpeas
26.7,66.8,21.5,26.41,50.14,5.9,131.4,pigeonpeas
13.6,79.5,22.2,29.84,49.28,5.49,157.07,pigeonpeas
24.9,74.3,26.9,25.68,50.33,6.25,131.23,pigeonpeas
20.9,67.3,11.7,26.75,49.83,6.36,148.01,pigeonpeas
20.7,63.5,5.0,27.34,44.53,6.09,129.49,pigeonpeas
11.3,71.0,18.4,28.22,50.5,5.58,153.78,pigeonpeas
18.3,62.5,18.4,30.16,42.57,6.8,166.69,pigeonpeas
